variable_category,definition
Sex Abuse Ð Adult 1st,"Engaging in or causing another person 18 or older to engage in or submit to a sexual act by (1) Using force against other person; (2) Threatening or placing that other person in reasonable fear that any person will be subjected to death, bodily injury, or kidnapping; (3) Rendering that other person unconscious; or (4) Administering to that other person by force or threat of force, or without the knowledge or permission of that other person, a drug, intoxicant, or other similar substance that substantially impairs the ability of that other person to appraise or control his or her conduct."
Sex Abuse Ð Adult 2nd,"Engaging in or causing another person 18 or older to engage in or submit to a sexual act (1) By threatening or placing that other person in reasonable fear (other than reasonable fear that any person will be subjected to death, bodily injury of kidnapping); or (2) Where the person knows or has reason to know that the other person is incapable of appraising the nature of the conduct, declining participation in that sexual act or communicating unwillingness to engage in that sexual act."
Sex Abuse Ð Adult 3rd,"Engaging in or causing sexual contact with or by another person 18 or older (1) By using force against that other person; (2) Threatening or placing that other person in reasonable fear that any person will be subjected to death, bodily injury of kidnapping; (3) Rendering that person unconscious; or (4) Administering to that person by force or threat of force, or without the knowledge of permission of that other person, a drug, intoxicant or similar substance that substantially impairs the ability of that other person to appraise or control his/her conduct."
Sex Abuse Ð Adult 4th,"Engaging in or causing sexual contact with or by another person 18 or older (1) By threatening or placing that other person in reasonable fear (other than reasonable fear that any person will be subjected to death, bodily injury of kidnapping); or (2) Where the person knows or has reason to know that the other person is incapable of appraising the nature of the conduct, declining participation in that sexual act or communicating unwillingness to engage in that sexual act."
Sex Abuse Ð Child 1st,"Being at least four years older than a child, engaging in a sexual act with that child or causing that child to engage in a sexual act."
Sex Abuse Ð Child 2nd,"Being at least four years older than a child, engaging in sexual contact with that child or causing that child to engage in sexual contact."
Stolen Auto Ð Stolen Auto,See Stolen Auto
Stolen Auto Ð Attempt,Attempted theft of another's motor vehicle as defined above.
Theft Ð 1,Theft of another's property valued at $250 or more.
Theft Ð 2,Theft of another's property valued at less than $250.
Theft Ð Bicycle,"Theft of another's bicycle, as defined as a human-powered vehicle with wheels designed to transport, by pedaling, one or more persons seated on one or more saddle seats on its frame; or with any attachment to the vehicle designed to transport by pedaling when the vehicle is used on a public roadway, public bicycle path or other public right-of-way. The term ""Bicycle"" also includes a ""tricycle,"" which is a 3-wheeled human-powered vehicle designed for use as a toy by a single child under 6 years of age, the seat of which is no more than 2 feet from ground level."
Theft Ð B&E Vending,Theft of currency or other items from a coin operated device or machine.
Theft Ð Tags,Theft of tags (license plates) from another's motor vehicle.
Theft F/Auto Ð 1,Theft of another's property valued at $250 or more from his/her motor vehicle.
Theft F/Auto Ð 2,Theft of another's property valued at less than $250 from his/her motor vehicle.
CCN,Criminal Complaint Number: unique identifier assigned to each offense or incident report taken by MPD members. Other law enforcement agencies also request and use CCNs for their reports.
Report Date,"The date the offense was reported to MPD, which may be later than the date the offense actually occurred."
Shift,"MPD member's tour of duty associated with the time the report was taken. Day shift generally runs between 0700 and 1500 (military time); evening shift between 1500 and 2300, and midnight shift between 2300 and 0700. If the shift is unknown, the field will say ""UNK""."
